peak_1	h_1	k_1	l_1	peak_2	h_2	k_2	l_2	peak_3	h_3	k_3	l_3	peak_4	h_4	k_4	l_4	peak_5	h_5	k_5	l_5	peak_6	h_6	k_6	l_6	space_code
2.983669	2.0	2.0	-1.0	2.898504	3.0	1.0	0.0	2.525138	0.0	0.0	2.0	2.470337	2.0	2.0	1.0	6.359932	1.0	1.0	0.0	2.543932	1.0	3.0	-1.0	2
2.967605	2.0	2.0	-1.0	2.886839	3.0	1.0	0.0	2.462156	2.0	2.0	1.0	2.516273	0.0	0.0	2.0	6.331875	1.0	1.0	0.0	2.531342	1.0	3.0	-1.0	2
2.95353	2.0	2.0	-1.0	2.877041	3.0	1.0	0.0	2.455132	2.0	2.0	1.0	2.508259	0.0	0.0	2.0	6.307822	1.0	1.0	0.0	2.520266	1.0	3.0	-1.0	2
2.933453	2.0	2.0	-1.0	2.864527	3.0	1.0	0.0	2.44578	2.0	2.0	1.0	2.49745	0.0	0.0	2.0	6.274269	1.0	1.0	0.0	2.503954	1.0	3.0	-1.0	2
2.915809	2.0	2.0	-1.0	2.853811	3.0	1.0	0.0	2.437221	2.0	2.0	1.0	2.487138	0.0	0.0	2.0	6.244826	1.0	1.0	0.0	2.489359	1.0	3.0	-1.0	2
0.77035	3.0	5.0	-6.0	2.903982	2.0	2.0	-1.0	2.846908	3.0	1.0	0.0	2.431771	2.0	2.0	1.0	2.480697	0.0	0.0	2.0	6.225206	1.0	1.0	0.0	2
2.895192	2.0	2.0	-1.0	2.841921	3.0	1.0	0.0	2.427599	2.0	2.0	1.0	2.475254	0.0	0.0	2.0	6.211002	1.0	1.0	0.0	2.472215	1.0	3.0	-1.0	2
2.886547	2.0	2.0	-1.0	2.837568	3.0	1.0	0.0	2.423762	2.0	2.0	1.0	2.470373	0.0	0.0	2.0	6.197116	1.0	1.0	0.0	2.464779	1.0	3.0	-1.0	2
2.995678	2.0	2.0	-1.0	2.943576	3.0	1.0	0.0	2.511281	2.0	2.0	1.0	2.534422	0.0	0.0	2.0	6.45235	1.0	1.0	0.0	2.565614	1.0	3.0	-1.0	2
2.993525	2.0	2.0	-1.0	2.930756	3.0	1.0	0.0	2.499612	2.0	2.0	1.0	2.531675	0.0	0.0	2.0	2.560682	1.0	3.0	-1.0	6.427724	1.0	1.0	0.0	2
2.989047	2.0	2.0	-1.0	2.921709	3.0	1.0	0.0	2.492019	2.0	2.0	1.0	2.530709	0.0	0.0	2.0	6.407046	1.0	1.0	0.0	2.554726	1.0	3.0	-1.0	2
2.985924	2.0	2.0	-1.0	2.907792	3.0	1.0	0.0	2.479244	2.0	2.0	1.0	2.528417	0.0	0.0	2.0	6.378367	1.0	1.0	0.0	2.548208	1.0	3.0	-1.0	2
