peak_1	h_1	k_1	l_1	peak_2	h_2	k_2	l_2	peak_3	h_3	k_3	l_3	peak_4	h_4	k_4	l_4	peak_5	h_5	k_5	l_5	peak_6	h_6	k_6	l_6	space_code
3.011051	2.0	2.0	-1.0	2.870834	3.0	1.0	0.0	2.432392	0.0	0.0	2.0	2.567579	1.0	3.0	-1.0	6.376625	1.0	1.0	0.0	4.472	0.0	2.0	0.0	2
3.02455	2.0	2.0	-1.0	2.88215	3.0	1.0	0.0	2.440292	0.0	0.0	2.0	2.578081	1.0	3.0	-1.0	6.402	1.0	1.0	0.0	4.49	0.0	2.0	0.0	2
3.010132	2.0	2.0	-1.0	2.868198	3.0	1.0	0.0	2.428994	0.0	0.0	2.0	2.565826	1.0	3.0	-1.0	6.37116	1.0	1.0	0.0	4.4685	0.0	2.0	0.0	2
2.929961	2.0	2.0	-1.0	2.810512	3.0	1.0	0.0	2.506215	1.0	3.0	-1.0	2.389338	0.0	0.0	2.0	6.236809	1.0	1.0	0.0	4.369	0.0	2.0	0.0	2
2.973394	2.0	2.0	-1.0	2.799103	3.0	1.0	0.0	4.3585	0.0	2.0	0.0	2.331609	0.0	0.0	2.0	3.184205	0.0	2.0	1.0	3.332156	1.0	1.0	1.0	2
2.983171	2.0	2.0	-1.0	2.812779	3.0	1.0	0.0	4.383	0.0	2.0	0.0	3.206204	0.0	2.0	1.0	2.35117	0.0	0.0	2.0	3.361714	1.0	1.0	1.0	2
2.973111	2.0	2.0	-1.0	2.799562	3.0	1.0	0.0	4.3575	0.0	2.0	0.0	2.331146	0.0	0.0	2.0	3.18352	0.0	2.0	1.0	3.331808	1.0	1.0	1.0	2
2.952312	2.0	2.0	-1.0	2.779475	3.0	1.0	0.0	4.3275	0.0	2.0	0.0	2.314932	0.0	0.0	2.0	3.161497	0.0	2.0	1.0	3.308464	1.0	1.0	1.0	2
3.021839	2.0	2.0	-1.0	2.859651	3.0	1.0	0.0	4.4595	0.0	2.0	0.0	3.443027	1.0	1.0	1.0	2.405109	0.0	0.0	2.0	6.354953	1.0	1.0	0.0	2
2.992172	2.0	2.0	-1.0	2.83551	3.0	1.0	0.0	6.29979	1.0	1.0	0.0	4.4195	0.0	2.0	0.0	3.418503	1.0	1.0	1.0	2.386786	0.0	0.0	2.0	2
3.008594	2.0	2.0	-1.0	2.853266	3.0	1.0	0.0	4.449	0.0	2.0	0.0	3.446739	1.0	1.0	1.0	2.405843	0.0	0.0	2.0	6.340413	1.0	1.0	0.0	2
3.068264	2.0	2.0	-1.0	2.916824	3.0	1.0	0.0	4.546	0.0	2.0	0.0	3.534194	1.0	1.0	1.0	2.464653	0.0	0.0	2.0	1.994474	2.0	4.0	-1.0	2
2.971684	2.0	2.0	-1.0	2.826411	3.0	1.0	0.0	3.239344	0.0	2.0	1.0	2.390108	0.0	0.0	2.0	2.874935	3.0	1.0	-1.0	4.405	0.0	2.0	0.0	2
3.025154	2.0	2.0	-1.0	2.878938	3.0	1.0	0.0	2.435816	0.0	0.0	2.0	6.395833	1.0	1.0	0.0	2.576684	1.0	3.0	-1.0	4.4865	0.0	2.0	0.0	2
3.037187	2.0	2.0	-1.0	2.890513	3.0	1.0	0.0	2.445219	0.0	0.0	2.0	6.421524	1.0	1.0	0.0	2.586933	1.0	3.0	-1.0	4.5045	0.0	2.0	0.0	2
3.054355	2.0	2.0	-1.0	2.906578	3.0	1.0	0.0	2.459324	0.0	0.0	2.0	0.771878	10.0	6.0	-4.0	2.601633	1.0	3.0	-1.0	4.53	0.0	2.0	0.0	2
3.096615	2.0	2.0	-1.0	2.949254	3.0	1.0	0.0	2.495686	0.0	0.0	2.0	2.638392	1.0	3.0	-1.0	4.5945	0.0	2.0	0.0	2.201855	3.0	3.0	-1.0	2
3.028937	2.0	2.0	-1.0	2.886546	3.0	1.0	0.0	2.444058	0.0	0.0	2.0	2.581664	1.0	3.0	-1.0	4.496	0.0	2.0	0.0	2.153865	3.0	3.0	-1.0	2
3.007102	2.0	2.0	-1.0	2.865235	3.0	1.0	0.0	6.364653	1.0	1.0	0.0	2.42664	0.0	0.0	2.0	2.563262	1.0	3.0	-1.0	2.138282	3.0	3.0	-1.0	2
6.590249	1.0	1.0	0.0	3.10827	2.0	2.0	-1.0	2.967707	3.0	1.0	0.0	2.652281	1.0	3.0	-1.0	2.516046	0.0	0.0	2.0	2.21086	3.0	3.0	-1.0	2
3.029652	2.0	2.0	-1.0	2.910299	3.0	1.0	0.0	2.593166	1.0	3.0	-1.0	2.475599	0.0	0.0	2.0	2.156712	3.0	3.0	-1.0	6.456551	1.0	1.0	0.0	2
3.048734	2.0	2.0	-1.0	2.928564	3.0	1.0	0.0	2.609519	1.0	3.0	-1.0	2.491246	0.0	0.0	2.0	2.170284	3.0	3.0	-1.0	6.497152	1.0	1.0	0.0	2
3.061511	2.0	2.0	-1.0	2.943037	3.0	1.0	0.0	2.621274	1.0	3.0	-1.0	2.504084	0.0	0.0	2.0	0.77201	10.0	6.0	-4.0	2.179619	3.0	3.0	-1.0	2
0.7703	12.0	4.0	-1.0	3.095727	2.0	2.0	-1.0	0.770667	0.0	12.0	0.0	2.978181	3.0	1.0	0.0	2.651382	1.0	3.0	-1.0	2.534491	0.0	0.0	2.0	2
2.603052	1.0	3.0	-1.0	3.035585	2.0	2.0	-1.0	2.928974	3.0	1.0	0.0	2.49508	0.0	0.0	2.0	2.162289	3.0	3.0	-1.0	4.641402	2.0	0.0	0.0	2
2.980134	2.0	2.0	-1.0	2.507744	2.0	2.0	1.0	2.549236	0.0	0.0	2.0	2.935757	3.0	1.0	0.0	2.890548	3.0	1.0	-1.0	2.546768	1.0	3.0	-1.0	2
2.059035	2.0	2.0	-5.0	2.046753	2.0	2.0	3.0	2.965565	2.0	2.0	-1.0	1.712409	6.0	2.0	-3.0	2.636217	2.0	2.0	-3.0	2.040896	4.0	0.0	2.0	2
2.055915	2.0	2.0	3.0	2.065634	2.0	2.0	-5.0	1.721086	6.0	2.0	-3.0	2.980389	2.0	2.0	-1.0	2.64677	2.0	2.0	-3.0	2.070857	4.0	0.0	-6.0	2
3.248809	2.0	2.0	3.0	3.084134	2.0	2.0	0.0	3.793342	3.0	1.0	2.0	3.931088	0.0	0.0	2.0	5.063829	1.0	1.0	2.0	3.716718	3.0	1.0	3.0	2
4.489031	1.0	1.0	-2.0	4.074541	1.0	5.0	0.0	4.662058	1.0	3.0	1.0	12.872	0.0	2.0	0.0	6.452075	1.0	1.0	0.0	3.291607	0.0	4.0	3.0	2
7.9725	0.0	2.0	0.0	7.842815	1.0	1.0	-2.0	12.806702	1.0	1.0	0.0	7.146654	1.0	1.0	2.0	10.748626	2.0	0.0	0.0	7.634879	2.0	0.0	-2.0	2
3.028258	0.0	6.0	1.0	2.884217	2.0	2.0	-4.0	2.880718	2.0	2.0	2.0	1.904998	4.0	0.0	-2.0	3.091665	0.0	6.0	0.0	2.504906	0.0	0.0	6.0	2
8.955571	0.0	0.0	2.0	2.98519	0.0	0.0	6.0	3.252985	0.0	2.0	1.0	3.103074	0.0	2.0	2.0	2.944135	3.0	1.0	1.0	2.724029	2.0	2.0	1.0	2
3.01141	3.0	5.0	-2.0	2.95232	1.0	5.0	2.0	2.820008	2.0	0.0	-4.0	2.794554	4.0	0.0	0.0	3.560587	3.0	3.0	-2.0	3.464037	1.0	3.0	2.0	2
3.392172	2.0	2.0	-2.0	3.206239	2.0	2.0	2.0	3.417658	5.0	1.0	-1.0	8.688097	1.0	1.0	0.0	3.08446	1.0	1.0	3.0	4.691937	2.0	0.0	-2.0	2
3.207446	5.0	1.0	-4.0	3.460798	3.0	1.0	2.0	4.4523	3.0	1.0	-2.0	2.580058	4.0	2.0	-1.0	2.815516	5.0	1.0	2.0	3.178809	5.0	1.0	1.0	2
3.206605	5.0	1.0	-4.0	3.462144	3.0	1.0	2.0	4.451332	3.0	1.0	-2.0	2.579772	4.0	2.0	-1.0	2.815898	5.0	1.0	2.0	3.178249	5.0	1.0	1.0	2
3.048935	5.0	1.0	2.0	2.935803	3.0	1.0	-4.0	3.65146	5.0	1.0	0.0	4.032693	3.0	1.0	-2.0	2.753	0.0	2.0	0.0	3.029708	8.0	0.0	-2.0	2
3.048935	5.0	1.0	2.0	2.935803	3.0	1.0	-4.0	3.65146	5.0	1.0	0.0	4.032693	3.0	1.0	-2.0	6.971276	0.0	0.0	2.0	2.753	0.0	2.0	0.0	2
3.557963	1.0	1.0	-1.0	2.9209	3.0	1.0	-1.0	3.068787	4.0	0.0	0.0	0.77046	15.0	1.0	1.0	2.485738	3.0	1.0	1.0	3.263872	1.0	1.0	1.0	2
4.607246	2.0	2.0	-1.0	3.309031	2.0	4.0	-1.0	3.210094	2.0	4.0	0.0	3.744572	2.0	2.0	1.0	3.188125	2.0	4.0	-2.0	4.296607	2.0	2.0	-2.0	2
2.745078	5.0	1.0	0.0	2.881282	1.0	1.0	-2.0	3.381238	0.0	0.0	2.0	1.69812	4.0	2.0	2.0	2.436113	5.0	1.0	-2.0	1.638408	1.0	1.0	-4.0	2
12.265364	2.0	0.0	0.0	6.200434	1.0	1.0	1.0	6.935057	1.0	1.0	0.0	4.088455	6.0	0.0	0.0	3.467529	2.0	2.0	0.0	0.770401	9.0	9.0	-1.0	2
3.354751	1.0	1.0	6.0	2.850831	3.0	3.0	1.0	3.243168	2.0	2.0	-6.0	3.805983	1.0	3.0	-1.0	3.268241	4.0	0.0	0.0	2.952105	2.0	2.0	5.0	2
10.183726	2.0	0.0	0.0	5.091863	4.0	0.0	0.0	3.394575	6.0	0.0	0.0	2.652285	0.0	2.0	4.0	2.444682	2.0	2.0	4.0	2.173008	4.0	2.0	4.0	2
3.505204	1.0	1.0	1.0	4.636309	1.0	1.0	-1.0	2.51564	0.0	2.0	2.0	4.857992	1.0	1.0	0.0	2.956521	2.0	0.0	-2.0	3.274437	0.0	2.0	1.0	2
4.006135	1.0	1.0	-1.0	3.221017	1.0	1.0	-2.0	4.004224	2.0	0.0	0.0	3.970534	0.0	0.0	2.0	2.499586	3.0	1.0	-1.0	1.962342	1.0	1.0	-4.0	2
6.262389	1.0	1.0	0.0	4.202451	1.0	1.0	-1.0	3.142402	3.0	1.0	0.0	2.99818	0.0	2.0	1.0	0.770753	10.0	0.0	-6.0	5.137665	2.0	0.0	0.0	2
9.511693	2.0	0.0	0.0	3.170564	6.0	0.0	0.0	3.015437	1.0	1.0	2.0	2.789841	3.0	3.0	0.0	5.242724	3.0	1.0	0.0	1.992707	7.0	1.0	2.0	2
2.995682	1.0	1.0	3.0	3.305869	3.0	1.0	-1.0	4.957084	1.0	1.0	0.0	4.042943	2.0	0.0	2.0	2.828805	2.0	0.0	-4.0	2.984833	4.0	0.0	-2.0	2
2.917421	2.0	2.0	-1.0	2.792512	3.0	1.0	0.0	0.770538	3.0	5.0	-6.0	4.196	0.0	2.0	0.0	2.449313	0.0	0.0	2.0	3.186748	0.0	2.0	1.0	2
2.921066	2.0	2.0	-1.0	0.770364	12.0	2.0	-3.0	2.796148	3.0	1.0	0.0	4.206	0.0	2.0	0.0	2.453697	0.0	0.0	2.0	3.193542	0.0	2.0	1.0	2
2.924605	2.0	2.0	-1.0	2.799072	3.0	1.0	0.0	4.215	0.0	2.0	0.0	2.456982	0.0	0.0	2.0	0.770744	12.0	2.0	-3.0	3.199292	0.0	2.0	1.0	2
2.930937	2.0	2.0	-1.0	2.806114	3.0	1.0	0.0	4.23	0.0	2.0	0.0	2.461985	0.0	0.0	2.0	4.372831	1.0	1.0	-1.0	3.20861	0.0	2.0	1.0	2
2.917488	2.0	2.0	-1.0	2.799597	3.0	1.0	0.0	2.439914	0.0	0.0	2.0	4.1855	0.0	2.0	0.0	3.176971	0.0	2.0	1.0	3.433335	1.0	1.0	1.0	2
2.921256	2.0	2.0	-1.0	2.797276	3.0	1.0	0.0	4.2015	0.0	2.0	0.0	2.451818	0.0	0.0	2.0	0.771275	12.0	2.0	-3.0	3.190536	0.0	2.0	1.0	2
2.917172	2.0	2.0	-1.0	2.791731	3.0	1.0	0.0	4.1941	0.0	2.0	0.0	2.449014	0.0	0.0	2.0	0.770506	3.0	5.0	-6.0	3.185751	0.0	2.0	1.0	2
2.894254	2.0	2.0	-1.0	2.772716	3.0	1.0	0.0	4.162	0.0	2.0	0.0	2.436502	0.0	0.0	2.0	3.16479	0.0	2.0	1.0	3.423477	1.0	1.0	1.0	2
2.917488	2.0	2.0	-1.0	2.796595	3.0	1.0	0.0	0.770731	12.0	2.0	-3.0	4.195	0.0	2.0	0.0	2.451036	0.0	0.0	2.0	0.770666	3.0	5.0	-6.0	2
2.909397	2.0	2.0	1.0	2.795867	3.0	1.0	0.0	0.771135	3.0	5.0	6.0	3.170486	0.0	2.0	1.0	4.15	0.0	2.0	0.0	2.456793	0.0	0.0	2.0	2
6.870696	4.0	0.0	0.0	3.435348	8.0	0.0	0.0	3.09832	3.0	3.0	2.0	3.097408	5.0	3.0	-2.0	3.470668	1.0	3.0	-2.0	3.117384	6.0	0.0	-4.0	2
5.786407	1.0	1.0	-1.0	2.918319	3.0	1.0	-2.0	3.87167	2.0	2.0	0.0	2.94027	0.0	4.0	1.0	2.914873	3.0	3.0	-1.0	7.085	0.0	2.0	0.0	2
3.544627	3.0	1.0	-1.0	2.764776	3.0	1.0	1.0	2.660697	0.0	0.0	2.0	0.77044	13.0	7.0	0.0	2.634891	1.0	3.0	-1.0	0.77081	8.0	2.0	5.0	2
3.737305	4.0	2.0	-1.0	3.856337	5.0	1.0	1.0	3.733076	0.0	2.0	3.0	2.51084	6.0	2.0	3.0	2.815082	8.0	0.0	-2.0	2.807462	6.0	2.0	-3.0	2
2.953966	2.0	2.0	1.0	2.936869	4.0	0.0	-2.0	2.807915	0.0	0.0	4.0	1.812655	6.0	2.0	-1.0	2.525918	2.0	2.0	-3.0	1.751062	2.0	2.0	5.0	2
3.171539	3.0	1.0	-1.0	3.496173	1.0	1.0	1.0	3.009751	3.0	1.0	1.0	2.986063	6.0	0.0	0.0	4.629637	1.0	1.0	0.0	2.031441	7.0	1.0	1.0	2
5.834097	1.0	1.0	0.0	5.875291	2.0	0.0	0.0	3.384117	3.0	1.0	0.0	3.365827	3.0	1.0	-2.0	3.460486	1.0	1.0	-2.0	4.206694	2.0	0.0	-2.0	2
4.7203	0.0	0.0	6.0	2.49771	1.0	3.0	3.0	3.540225	0.0	0.0	8.0	4.47218	0.0	2.0	1.0	7.08045	0.0	0.0	4.0	3.908891	1.0	1.0	-4.0	2
3.248809	2.0	2.0	3.0	3.084134	2.0	2.0	0.0	3.793342	3.0	1.0	2.0	3.931088	0.0	0.0	2.0	5.063829	1.0	1.0	2.0	3.716718	3.0	1.0	3.0	2
2.529282	2.0	8.0	0.0	3.043945	0.0	2.0	3.0	2.485069	2.0	6.0	-3.0	1.487976	6.0	8.0	-2.0	2.540756	4.0	0.0	-2.0	1.46081	2.0	8.0	-6.0	2
9.141965	0.0	0.0	2.0	3.558056	3.0	1.0	-1.0	4.570982	0.0	0.0	4.0	2.806209	0.0	2.0	4.0	2.807975	3.0	1.0	-5.0	2.053068	3.0	3.0	-1.0	2
3.505482	1.0	1.0	-2.0	3.138315	2.0	0.0	0.0	2.581885	0.0	2.0	2.0	3.360737	0.0	2.0	1.0	4.915029	1.0	1.0	-1.0	4.856716	1.0	1.0	0.0	2
3.446875	1.0	1.0	-2.0	3.105702	2.0	0.0	0.0	2.53058	0.0	2.0	2.0	4.860658	1.0	1.0	-1.0	4.79646	1.0	1.0	0.0	3.302609	0.0	2.0	1.0	2
9.262117	0.0	0.0	2.0	2.462987	1.0	3.0	2.0	3.087372	0.0	0.0	6.0	2.448941	2.0	0.0	-4.0	4.41866	0.0	2.0	1.0	3.931014	1.0	1.0	-3.0	2
27.08078	2.0	0.0	0.0	13.54039	4.0	0.0	0.0	4.800953	3.0	1.0	-1.0	4.38731	5.0	1.0	1.0	4.246098	7.0	1.0	-1.0	2.839569	15.0	1.0	1.0	2
3.309032	0.0	12.0	4.0	3.367147	0.0	0.0	8.0	2.088	4.0	0.0	-2.0	2.837266	2.0	6.0	-7.0	2.836059	2.0	6.0	5.0	4.065177	0.0	10.0	3.0	2
2.311769	1.0	1.0	1.0	2.510819	1.0	1.0	-1.0	0.77059	3.0	3.0	3.0	1.855348	2.0	0.0	-2.0	2.51912	0.0	0.0	2.0	1.49857	1.0	1.0	-3.0	2
2.311769	1.0	1.0	1.0	2.510819	1.0	1.0	-1.0	0.77059	3.0	3.0	3.0	1.855348	2.0	0.0	-2.0	2.51912	0.0	0.0	2.0	1.49857	1.0	1.0	-3.0	2
2.321161	1.0	1.0	1.0	2.522753	1.0	1.0	-1.0	0.770773	6.0	0.0	-2.0	1.861733	2.0	0.0	-2.0	2.52467	0.0	0.0	2.0	1.503418	1.0	1.0	-3.0	2
2.321708	1.0	1.0	1.0	2.522645	1.0	1.0	-1.0	1.866323	2.0	0.0	-2.0	2.528935	0.0	0.0	2.0	2.309463	2.0	0.0	0.0	1.505023	1.0	1.0	-3.0	2
2.326654	1.0	1.0	1.0	2.52318	1.0	1.0	-1.0	2.531075	0.0	0.0	2.0	1.863189	2.0	0.0	-2.0	2.310764	2.0	0.0	0.0	1.504809	1.0	1.0	-3.0	2
2.531159	1.0	1.0	-1.0	2.339383	1.0	1.0	1.0	2.531891	0.0	0.0	2.0	2.310232	2.0	0.0	0.0	1.856696	2.0	0.0	-2.0	1.505105	1.0	1.0	-3.0	2
2.535095	1.0	1.0	-1.0	2.347261	1.0	1.0	1.0	2.531626	0.0	0.0	2.0	2.314817	2.0	0.0	0.0	1.854233	2.0	0.0	-2.0	1.504558	1.0	1.0	-3.0	2
2.534725	1.0	1.0	-1.0	2.348425	1.0	1.0	1.0	2.530576	0.0	0.0	2.0	2.313272	2.0	0.0	0.0	1.851593	2.0	0.0	-2.0	1.503656	1.0	1.0	-3.0	2
2.349596	1.0	1.0	1.0	2.536893	1.0	1.0	-1.0	2.531396	0.0	0.0	2.0	2.315352	2.0	0.0	0.0	1.853523	2.0	0.0	-2.0	1.504598	1.0	1.0	-3.0	2
2.533136	1.0	1.0	-1.0	2.348549	1.0	1.0	1.0	2.530972	0.0	0.0	2.0	2.310556	2.0	0.0	0.0	1.848998	2.0	0.0	-2.0	1.503126	1.0	1.0	-3.0	2
2.535562	1.0	1.0	-1.0	2.349955	1.0	1.0	1.0	2.530389	0.0	0.0	2.0	2.313257	2.0	0.0	0.0	1.850667	2.0	0.0	-2.0	0.770414	6.0	0.0	-2.0	2
2.349955	1.0	1.0	1.0	2.535562	1.0	1.0	-1.0	0.770414	6.0	0.0	-2.0	1.850667	2.0	0.0	-2.0	2.530389	0.0	0.0	2.0	2.313257	2.0	0.0	0.0	2
2.320807	1.0	1.0	1.0	2.522157	1.0	1.0	-1.0	1.866702	2.0	0.0	-2.0	2.52903	0.0	0.0	2.0	2.309082	2.0	0.0	0.0	1.505102	1.0	1.0	-3.0	2
2.505156	7.0	1.0	-3.0	3.277862	1.0	1.0	1.0	4.162378	2.0	0.0	-2.0	5.761461	2.0	0.0	0.0	0.774567	18.0	0.0	-2.0	0.771699	23.0	3.0	-8.0	2
2.501146	1.0	1.0	3.0	3.27468	3.0	1.0	-1.0	4.159073	2.0	0.0	-2.0	5.756622	2.0	0.0	0.0	2.878311	4.0	0.0	0.0	2.952	0.0	2.0	0.0	2
3.064329	3.0	1.0	1.0	3.096525	3.0	1.0	-1.0	2.856231	6.0	0.0	0.0	3.568674	1.0	1.0	1.0	1.851912	6.0	2.0	0.0	2.4325	0.0	2.0	0.0	2
3.218891	1.0	3.0	1.0	3.228288	5.0	1.0	1.0	10.452791	2.0	0.0	0.0	2.907108	6.0	2.0	-1.0	3.591375	4.0	2.0	-1.0	3.37018	1.0	1.0	2.0	2
9.432395	2.0	0.0	0.0	3.465609	2.0	2.0	-4.0	5.33274	3.0	1.0	-2.0	3.365605	0.0	2.0	4.0	4.097676	3.0	1.0	2.0	3.726977	5.0	1.0	-2.0	2
3.072654	2.0	0.0	-2.0	2.683795	1.0	3.0	-1.0	3.248329	1.0	1.0	1.0	2.624829	0.0	2.0	2.0	2.859155	2.0	0.0	0.0	3.240889	0.0	0.0	2.0	2
3.240845	1.0	1.0	-2.0	2.994419	2.0	0.0	0.0	2.608875	1.0	3.0	0.0	2.591739	0.0	2.0	2.0	0.771192	7.0	5.0	-6.0	1.644044	3.0	3.0	0.0	2
3.23148	1.0	1.0	-2.0	2.991691	2.0	0.0	0.0	2.607694	1.0	3.0	0.0	2.587001	0.0	2.0	2.0	0.770578	1.0	11.0	-2.0	1.642845	3.0	3.0	0.0	2
3.245347	1.0	1.0	-2.0	2.995315	2.0	0.0	0.0	2.612182	1.0	3.0	0.0	2.594469	0.0	2.0	2.0	1.645168	3.0	3.0	0.0	4.935503	1.0	1.0	0.0	2
3.240868	1.0	1.0	-2.0	2.991884	2.0	0.0	0.0	2.608455	1.0	3.0	0.0	2.590598	0.0	2.0	2.0	0.771256	7.0	5.0	-6.0	1.6431	3.0	3.0	0.0	2
3.241013	1.0	1.0	-2.0	3.003129	2.0	0.0	0.0	2.616149	1.0	3.0	0.0	2.594596	0.0	2.0	2.0	1.648747	3.0	3.0	0.0	4.946242	1.0	1.0	0.0	2
3.23414	1.0	1.0	-2.0	2.991923	2.0	0.0	0.0	2.609434	1.0	3.0	0.0	2.589787	0.0	2.0	2.0	1.643357	3.0	3.0	0.0	4.930072	1.0	1.0	0.0	2
3.266529	1.0	1.0	-2.0	3.016018	2.0	0.0	0.0	2.631892	1.0	3.0	0.0	2.609293	0.0	2.0	2.0	4.970856	1.0	1.0	0.0	1.656952	3.0	3.0	0.0	2
3.235146	1.0	1.0	-2.0	2.984808	2.0	0.0	0.0	2.602909	1.0	3.0	0.0	2.586477	0.0	2.0	2.0	1.639369	3.0	3.0	0.0	4.918108	1.0	1.0	0.0	2
10.254469	0.0	0.0	2.0	4.470411	1.0	1.0	-1.0	3.689828	2.0	0.0	-4.0	3.418156	0.0	0.0	6.0	5.127234	0.0	0.0	4.0	3.102038	2.0	0.0	4.0	2
9.997803	0.0	0.0	2.0	3.332601	0.0	0.0	6.0	4.475447	1.0	1.0	-1.0	4.503729	1.0	1.0	0.0	4.35684	2.0	0.0	-2.0	4.998901	0.0	0.0	4.0	2
9.990299	0.0	0.0	2.0	4.99515	0.0	0.0	4.0	4.496715	1.0	1.0	0.0	4.469294	1.0	1.0	-1.0	3.3301	0.0	0.0	6.0	4.348124	2.0	0.0	-2.0	2
2.870446	2.0	0.0	2.0	3.050269	0.0	2.0	1.0	3.293685	4.0	0.0	-2.0	2.893268	3.0	1.0	-3.0	3.679468	3.0	1.0	-1.0	3.459022	3.0	1.0	-2.0	2
2.637923	5.0	1.0	-1.0	3.062529	4.0	0.0	2.0	2.433967	1.0	1.0	-3.0	3.048262	3.0	1.0	-1.0	9.761794	2.0	0.0	0.0	2.245133	2.0	0.0	4.0	2
2.637923	5.0	1.0	-1.0	3.062529	4.0	0.0	2.0	2.433967	1.0	1.0	-3.0	3.048262	3.0	1.0	-1.0	9.761794	2.0	0.0	0.0	2.245133	2.0	0.0	4.0	2
12.107771	1.0	1.0	0.0	10.732675	1.0	1.0	-1.0	4.039186	3.0	3.0	-2.0	4.035924	3.0	3.0	0.0	7.851877	1.0	1.0	1.0	6.277525	2.0	2.0	-1.0	2
27.088412	2.0	0.0	0.0	13.544206	4.0	0.0	0.0	4.798775	3.0	1.0	-1.0	4.24621	7.0	1.0	-1.0	4.382861	5.0	1.0	1.0	2.837811	15.0	1.0	1.0	2
7.19	0.0	2.0	0.0	3.130031	2.0	2.0	-4.0	3.150583	2.0	2.0	2.0	3.595	0.0	4.0	0.0	3.504999	2.0	0.0	2.0	2.899183	0.0	0.0	6.0	2
7.114	0.0	2.0	0.0	3.128558	2.0	2.0	-4.0	3.145278	2.0	2.0	2.0	3.557	0.0	4.0	0.0	3.506624	2.0	0.0	2.0	3.483498	2.0	0.0	-4.0	2
3.411432	3.0	1.0	0.0	4.057939	1.0	1.0	-2.0	3.643001	0.0	0.0	4.0	2.028648	5.0	1.0	-4.0	3.244718	2.0	0.0	-4.0	2.116296	0.0	2.0	4.0	2
3.229736	1.0	1.0	-2.0	2.983672	2.0	0.0	0.0	2.60612	1.0	3.0	0.0	2.58455	0.0	2.0	2.0	0.77047	1.0	11.0	-2.0	1.639793	3.0	3.0	0.0	2
2.752611	3.0	1.0	-3.0	3.520952	3.0	1.0	-1.0	3.298338	3.0	1.0	-2.0	2.047769	3.0	3.0	-1.0	3.56	0.0	2.0	0.0	2.706522	0.0	2.0	2.0	2
3.851961	3.0	1.0	-1.0	4.83864	0.0	2.0	1.0	4.360172	1.0	3.0	-1.0	3.285681	1.0	3.0	1.0	6.762351	1.0	1.0	-1.0	2.764726	3.0	3.0	0.0	2
14.33361	0.0	0.0	2.0	2.393199	1.0	3.0	-6.0	4.471389	1.0	1.0	1.0	2.866722	0.0	0.0	10.0	2.552208	1.0	3.0	-4.0	3.583403	0.0	0.0	8.0	2
3.485484	2.0	2.0	0.0	6.970968	1.0	1.0	0.0	3.702749	1.0	1.0	1.0	2.079356	3.0	3.0	-1.0	2.613253	3.0	1.0	-1.0	2.218648	0.0	0.0	2.0	2
12.053363	2.0	0.0	0.0	3.199918	7.0	1.0	0.0	3.048403	4.0	2.0	-1.0	5.889458	3.0	1.0	0.0	2.768733	4.0	2.0	1.0	2.708479	6.0	2.0	-1.0	2
12.059038	2.0	0.0	0.0	3.201472	7.0	1.0	0.0	3.05072	4.0	2.0	-1.0	5.892521	3.0	1.0	0.0	2.771444	4.0	2.0	1.0	2.710198	6.0	2.0	-1.0	2
3.235526	0.0	2.0	2.0	2.952376	1.0	3.0	1.0	3.36244	3.0	1.0	-1.0	5.049	0.0	2.0	0.0	5.250819	1.0	1.0	1.0	3.662161	2.0	0.0	-2.0	2
3.211471	0.0	2.0	2.0	2.925987	1.0	3.0	1.0	5.0	0.0	2.0	0.0	3.34379	3.0	1.0	-1.0	5.212627	1.0	1.0	1.0	3.644237	2.0	0.0	-2.0	2
3.21501	0.0	2.0	2.0	2.928234	1.0	3.0	1.0	5.005	0.0	2.0	0.0	3.339671	3.0	1.0	-1.0	5.214003	1.0	1.0	1.0	3.644687	2.0	0.0	-2.0	2
7.181299	0.0	0.0	2.0	2.384599	2.0	2.0	2.0	3.002763	1.0	1.0	-4.0	2.566202	2.0	2.0	0.0	2.885013	1.0	1.0	4.0	3.099069	2.0	0.0	-4.0	2
3.304445	0.0	12.0	4.0	3.368721	0.0	0.0	8.0	2.09275	4.0	0.0	-2.0	2.839425	2.0	6.0	-7.0	2.839335	2.0	6.0	5.0	3.650069	0.0	12.0	2.0	2
2.952047	3.0	1.0	1.0	8.064883	1.0	1.0	0.0	2.66392	0.0	4.0	1.0	3.309322	3.0	1.0	-1.0	2.659414	2.0	0.0	2.0	2.925627	1.0	1.0	2.0	2
12.416261	2.0	0.0	0.0	3.517113	5.0	1.0	1.0	2.996318	5.0	1.0	3.0	2.694654	7.0	1.0	-3.0	2.66615	0.0	2.0	0.0	3.148193	5.0	1.0	-3.0	2
2.9899	2.0	2.0	-1.0	2.948395	2.0	2.0	1.0	3.649946	2.0	2.0	0.0	2.493181	0.0	4.0	1.0	2.55203	0.0	0.0	2.0	1.767643	2.0	6.0	0.0	2
2.989478	2.0	2.0	-1.0	2.970181	2.0	2.0	1.0	3.657449	2.0	2.0	0.0	2.5032	0.0	4.0	1.0	2.569398	0.0	0.0	2.0	1.772757	2.0	6.0	0.0	2
2.975455	2.0	2.0	-1.0	2.960379	2.0	2.0	1.0	3.642637	2.0	2.0	0.0	2.49357	0.0	4.0	1.0	2.559438	0.0	0.0	2.0	1.765865	2.0	6.0	0.0	2
