names	peak_1	peak_2	peak_3	peak_4	peak_5	peak_6	peak_7	peak_8
Aluminium	4.277112401658493	4.9387837751075425	6.984493725480062	8.190048435946451	8.554224803316986	9.877567550215085	10.763833948486443	11.043451564525784
Aluminium	4.285716734695277	4.948718900394661	6.9985471016217025	8.206522051335078	8.571433469390554	9.897432902827994	10.785485325268667	11.065668100777252
Aluminium	4.285874699881624	4.948902580852696	6.998806703457062	8.20682512404616	8.571749399763249	9.897805161705392	10.78588085053142	11.06608444307717
Aluminium	4.286618762273125	4.949759936643073	7.00001680004032	8.208246496925602	8.573233849527744	9.899519873286145	10.787754172973008	11.06799512122775
Aluminium	4.277112401658493	4.9387837751075425	6.984493725480062	8.190048435946451	8.554224803316986	9.877567550215085	10.763833948486443	11.043451564525784
Aluminium	4.285716734695277	4.948718900394661	6.9985471016217025	8.206522051335078	8.571433469390554	9.897432902827994	10.785485325268667	11.065668100777252
Aluminium	4.285874699881624	4.948902580852696	6.998806703457062	8.20682512404616	8.571749399763249	9.897805161705392	10.78588085053142	11.06608444307717
Aluminium	4.286618762273125	4.949759936643073	7.00001680004032	8.208246496925602	8.573233849527744	9.899519873286145	10.787754172973008	11.06799512122775
Aluminium	4.2808970534157496	4.9431537320810675	6.990675138432845	8.197292434308947	8.56179044161715	9.886307464162135	10.773354477837053	11.053229035064158
Iron	4.885897199745738	5.6417489421720735	7.97863640316688	9.355779720037647	9.771799173892099	11.283497884344147	12.295903373872928	12.615335706698492
Iron	4.894180476820427	5.651313930488838	7.992167675677836	9.371640852481939	9.788365744243707	11.302627860977676	12.316757441169008	12.636729412240442
Iron	4.9024942910453975	5.660911406736485	8.005738513366381	9.387555855957343	9.804988582090795	11.32182281347297	12.337667144545641	12.65817977906413
Iron	4.910833987292726	5.670541536716756	8.019355516474564	9.403533848020086	9.821667974585452	11.341083073433513	12.358663237549575	12.679719169579833
Iron	4.919202105418502	5.680204487361546	8.033025373917248	9.419557450351869	9.838404210837004	11.360408974723091	12.379715588414072	12.701315856322715
Iron	4.92900021638311	5.691519635742743	8.04902176214014	9.438316355375262	9.85800529177724	11.383039271485487	12.404377752996588	12.726629454002143
Iron	4.936024190467353	5.699629524080935	8.060492383237722	9.451769040352437	9.872048380934705	11.39925904816187	12.422051626046557	12.74476317681065
Iron	4.9430682118697895	5.707762557077626	8.071995744443845	9.465251169905043	9.886131536957327	11.415525114155251	12.439775934755863	12.762948649552403
Iron	4.951546640350847	5.717552887364208	8.085839269686996	9.481485976408168	9.903088377141295	11.435105774728417	12.461121301539198	12.784830032077139
Iron	4.957214283518947	5.724098454493417	8.095094696417759	9.492340156111027	9.914428567037895	11.448196908986834	12.475376725188658	12.799475733473958
Iron	4.962897379193151	5.730659025787965	8.104377903899909	9.503219215509253	9.925794758386303	11.46131805157593	12.489680401568204	12.814138607974495
