   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   4   14   -1   1.137261     9.675850    -2.524341      9.99972   85.27006    0.02103    4
   4   14    0   1.134862    19.650548     2.487511      19.8074   85.49329    0.08226    4
   5    1    3   1.132705     4.504590     1.039924      4.62307   85.69517    0.00447    4
   5   13   -1   1.132580    26.970361     4.092583      27.2791   85.70685    0.15558    4
   5    9    2   1.131613   -68.520076    -6.702104      68.8471   85.79775    0.98979    4
   0   16    0   1.129875    -9.048658    -4.879190      10.2803   85.96168    0.01101    2
   0   12    3   1.128626    17.910439     2.374076      18.0671   86.07991    0.06791    4
   3    9    3   1.128548    46.168461     4.196645      46.3588   86.08725    0.44709    4
   6    6    2   1.128313   -36.996471    -2.732620      37.0973   86.10956    0.28621    4
   3   15    0   1.126607     9.046821     0.609394      9.06732   86.27179    0.01706    4
   2    4    4   1.126117    -9.119209     2.486903      9.45223   86.31858    0.01853    4
   7    9    0   1.125761  -115.507321    -7.333844       115.74   86.35255    2.77733    4
   5   13    0   1.122788   -72.978329    -4.651873      73.1264   86.63761    1.10475    4
   3   15   -1   1.121556   -35.392202    -3.726551      35.5879   86.75635    0.26127    4
   7    9   -2   1.120321    22.042471    -2.555753      22.1901   86.87579    0.10143    4
   8    0   -3   1.116596   -20.102806    -3.368523      20.3831   87.23832    0.04261    2
   7    7    1   1.116561   -30.560339    -1.985481      30.6248   87.24170    0.19236    4
   5    3    3   1.115326   -74.191551    -4.592698      74.3336   87.36269    1.13170    4
   8    6   -2   1.115285    16.704647    -0.844010       16.726   87.36675    0.05730    4
   6   10    1   1.115116    10.685356     0.905912      10.7237   87.38331    0.02355    4
   0    8    4   1.112373   -43.794832    -1.163999      43.8103   87.65352    0.39181    4
   6    4   -4   1.111349    95.819955     5.571590      95.9818   87.75497    1.87848    4
   6   12   -1   1.108244    18.608441     2.619621      18.7919   88.06402    0.07176    4
   8    2   -3   1.108172     0.369719     1.774266      1.81238   88.07122    0.00067    4
   1    7    4   1.107797    39.383581     4.990983      39.6986   88.10876    0.32011    4
   8    6    0   1.106315   -37.020416    -2.775595      37.1243   88.25742    0.27950    4
   7    7   -3   1.106019   -73.654518    -4.712482      73.8051   88.28717    1.10433    4
   4    8   -4   1.105184   -20.954313    -2.205402      21.0701   88.37117    0.08992    4
   0   16    1   1.103246    71.051697     7.459408      71.4422   88.56704    1.03174    4
   2   16    0   1.099299    -8.990477    -2.535050      9.34105   88.96894    0.01757    4
   8    0    1   1.098807   -23.571002    -4.152539       23.934   89.01936    0.05764    2
   1    9   -4   1.097853   -51.623676    -6.403397      52.0193   89.11731    0.54401    4
   5    7   -4   1.097196    -5.572677     3.284984      6.46884   89.18489    0.00841    4
   1   15   -2   1.096440    45.190934     2.975572      45.2888   89.26279    0.41177    4
   3   13    2   1.096377   -64.598008    -4.695709      64.7685   89.26930    0.84212    4
   3    9   -4   1.094380    -3.354067    -3.315844      4.71642   89.47595    0.00446    4
   5   11   -3   1.094339   -15.614535    -3.828292       16.077   89.48015    0.05178    4
   4   12   -3   1.092948    26.533303     2.659707      26.6663   89.62486    0.14228    4
   6   12    0   1.092234   -20.497896     0.045386      20.4979   89.69923    0.08401    4
   2   14    2   1.092041    19.669504     2.576841      19.8376   89.71936    0.07867    4
   3    1    4   1.091461    91.018488     5.268084      91.1708   89.78001    1.66077    4
   8    2    1   1.090777   -15.813030     1.307626       15.867   89.85161    0.05027    4
   1   13   -3   1.090156    -5.155607     1.687044      5.42461   89.91671    0.00587    4
   4    8    3   1.090040     8.656879    -0.639073      8.68044   89.92891    0.01504    4
   5   13   -2   1.089492    55.699957    -0.799323      55.7057   89.98654    0.61887    4
   9    1   -1   1.089464    16.386477     1.487629      16.4539   89.98950    0.05399    4
   7    1    2   1.089306   -28.934297    -0.578045      28.9401   90.00607    0.16700    4
   2   16   -1   1.087857    60.223555     7.148909      60.6464   90.15883    0.73243    4
   4   14   -2   1.086926    18.242702     3.230579      18.5265   90.25728    0.06829    4
   2    6    4   1.084809     4.510527    -0.956255      4.61078   90.48211    0.00422    4
   8    4   -3   1.084002   -20.401848    -2.298990       20.531   90.56820    0.08366    4
   5    5    3   1.082840    94.062802     8.414804      94.4384   90.69244    1.76822    4
   4   12    2   1.082421   113.900942     2.358217      113.925   90.73740    2.57232    4
   4   14    1   1.080677  -122.877377    -7.396705        123.1   90.92482    2.99889    4
   3   15    1   1.080025    13.274030    -0.979770      13.3101   90.99515    0.03504    4
   8    8   -1   1.079647    14.127545    -0.413464      14.1336   91.03596    0.03950    4
   6   10   -3   1.077639     8.255216    -0.052228      8.25538   91.25364    0.01345    4
   9    1   -2   1.075923    83.620783     5.168204      83.7803   91.44065    1.38375    4
   3    3    4   1.075887   -12.622257    -0.537958      12.6337   91.44456    0.03146    4
   7    1   -4   1.074711   107.049075     3.763829      107.115   91.57324    2.25977    4
   6   12   -2   1.074156    67.594868     4.785367       67.764   91.63412    0.90401    4
   9    3   -1   1.073973   -31.995432    -3.478970       32.184   91.65413    0.20389    4
   7    3    2   1.073822    71.166499     3.336488      71.2447   91.67070    0.99901    4
   3   13   -3   1.073666    52.968935     4.522468      53.1616   91.68790    0.55617    4
   6    6   -4   1.071589   -12.685217    -1.661300      12.7935   91.91690    0.03216    4
   6    8    2   1.071395     3.612627     0.805100      3.70125   91.93832    0.00269    4
   1   15    2   1.070045   -37.541397    -0.216094       37.542   92.08795    0.27662    4
   7   11   -1   1.067813   -16.568580    -4.025973      17.0507   92.33665    0.05697    4
   8    4    1   1.067704    -4.732148    -1.725416      5.03689   92.34887    0.00497    4
   3   15   -2   1.066829     5.397443     1.814543      5.69429   92.44684    0.00635    4
   2   10   -4   1.066360    17.090312     2.195518      17.2308   92.49940    0.05812    4
   5   13    1   1.063926    13.459081     2.394338      13.6704   92.77364    0.03652    4
   2   16    1   1.062063    65.356852     6.581565      65.6874   92.98486    0.84229    4
   9    3   -2   1.060995   -72.567487    -1.534696      72.5837   93.10642    1.02774    4
   8    8   -2   1.060221    -6.363946     0.712052      6.40366   93.19473    0.00800    4
   7    3   -4   1.059833   -46.583339    -0.038996      46.5834   93.23917    0.42302    4
   2   12    3   1.059076    16.398370     2.379704      16.5701   93.32583    0.05350    4
   1   17    0   1.056832    -8.945892    -0.557973      8.96328   93.58400    0.01563    4
   2    0   -5   1.055799   -18.669720    -3.714834      19.0357   93.70340    0.03524    2
   9    1    0   1.055436    32.244827     0.019276      32.2448   93.74551    0.20217    4
   7    9    1   1.054077    10.001098     2.567572      10.3254   93.90339    0.02071    4
   8    8    0   1.052506     7.861503     0.493583      7.87698   94.08655    0.01205    4
   5   11    2   1.052160   178.872642    12.445567      179.305   94.12708    6.24048    4
   3    1   -5   1.052079   -17.399330     0.064277      17.3994   94.13659    0.05876    4
   1   13    3   1.051901    20.950429     3.605687      21.2584   94.15737    0.08771    4
   3   11    3   1.049695   -18.014514    -3.933114      18.4389   94.41667    0.06591    4
   2    2   -5   1.048670    66.993309     5.609828      67.2278   94.53776    0.87577    4
   7   11    0   1.047451   187.109164    12.562124       187.53   94.68222    6.81071    4
   8    6   -3   1.047010   148.259220     9.974096      148.594   94.73457    4.27532    4
   1    9    4   1.046694    -6.804538    -2.606077      7.28652   94.77221    0.01028    4
   3    5    4   1.046639   -11.547311    -3.348055      12.0229   94.77875    0.02798    4
   7    9   -3   1.045193    45.352093     5.208906      45.6502   94.95118    0.40319    4
   9    5   -1   1.044877    64.856353     7.037106       65.237   94.98900    0.82329    4
   7    5    2   1.044738    30.121217    -1.461474      30.1567   95.00563    0.17592    4
   0   10    4   1.043527    50.778019     3.327335      50.8869   95.15091    0.50066    4
   1    1   -5   1.043170    18.308715     1.436814       18.365   95.19384    0.06520    4
   7   11   -2   1.043064   -10.046038     4.919317      11.1858   95.20650    0.02419    4
   9    3    0   1.041334    23.848481     2.952522      24.0306   95.41531    0.11156    4
   1   17   -1   1.040750   -52.017403     0.796688      52.0235   95.48604    0.52272    4
   4    0   -5   1.039315   -23.604672    -3.614322      23.8798   95.66027    0.05504    2
   2   14   -3   1.039171   -76.340922    -5.806213      76.5614   95.67782    1.13149    4
   5    7    3   1.039030    15.342643    -0.969507      15.3732   95.69500    0.04562    4
   3    3   -5   1.038109   -52.143366    -4.207599      52.3129   95.80734    0.52808    4
   5    9   -4   1.037738   -57.852600    -5.128039      58.0794   95.85269    0.65084    4
   4   10   -4   1.037585    37.431127     3.352344      37.5809   95.87146    0.27249    4
   6    0    3   1.037507   -37.461406    -4.383265       37.717   95.88094    0.13723    2
   2    8    4   1.033938    24.265652    -0.013480      24.2657   96.32032    0.11348    4
   0   16    2   1.033400    -3.168725    -2.502425      4.03769   96.38693    0.00314    4
   9    5   -2   1.032914   -52.830299    -3.611344      52.9536   96.44730    0.54030    4
   4    2   -5   1.032512    -1.390892     1.839821      2.30641   96.49719    0.00102    4
   8    6    1   1.032302   138.130165    10.343042      138.517   96.52329    3.69643    4
   6   12    1   1.032066    30.278622     2.687905      30.3977   96.55269    0.17801    4
   2   16   -2   1.031948   -61.244206    -5.382236      61.4803   96.56738    0.72814    4
   7    5   -4   1.031841   -28.393929    -2.865502      28.5382   96.58071    0.15689    4
   6    2    3   1.030740    -7.314865     1.549408      7.47716   96.71821    0.01077    4
   1    3   -5   1.029547    -2.311986    -2.336492      3.28702   96.86756    0.00208    4
   1   17    1   1.029236   167.599226     9.408835      167.863   96.90672    5.42504    4
   0   14    3   1.029143    24.567202    -1.626372       24.621   96.91837    0.11671    4
   2    4   -5   1.028118   -15.630390    -2.319769      15.8016   97.04738    0.04806    4
   5   15   -1   1.025475    -6.636713    -0.966729      6.70675   97.38207    0.00865    4
   4   10    3   1.025023    37.289670     1.230980        37.31   97.43960    0.26783    4
   1   11   -4   1.024859   129.535571    11.410270      130.037   97.46041    3.25335    4
   4    0    4   1.023167    -9.169437     5.552388      10.7195   97.67654    0.01105    2
   6    8   -4   1.022472    55.192253     2.716034       55.259   97.76569    0.58735    4
   4   16   -1   1.022343    52.459584     6.511556      52.8622   97.78234    0.53750    4
   0    0    5   1.022342   -16.366946    -3.563493      16.7504   97.78244    0.02698    2
   3   11   -4   1.022032    10.927435     5.756521       12.351   97.82223    0.02934    4
   4   16    0   1.020599   -76.304158    -5.241524       76.484   98.00697    1.12506    4
   9    1   -3   1.019702    -6.130259     0.037041      6.13037   98.12303    0.00723    4
   5   15    0   1.018189    52.629299     3.951663      52.7774   98.31954    0.53567    4
   4    2    4   1.016675    -6.733761    -3.043393      7.38957   98.51713    0.01050    4
   8   10   -1   1.016367    20.203511     1.001649      20.2283   98.55749    0.07869    4
   0    2    5   1.015865   -48.207718     0.546726      48.2108   98.62325    0.44699    4
   9    5    0   1.014746    -2.489618    -1.908330      3.13686   98.77025    0.00189    4
   6   14   -1   1.013619   -59.650832    -6.362963      59.9892   98.91897    0.69215    4
   4    4   -5   1.012878    -0.899413    -1.870580      2.07558   99.01705    0.00083    4
   5    1   -5   1.012059    28.812901     1.788745      28.8684   99.12577    0.16031    4
   3    5   -5   1.011762    98.212430     8.968816      98.6211   99.16524    1.87094    4
   6    4    3   1.011205     3.125636    -1.531960      3.48088   99.23941    0.00233    4
   6   10    2   1.009473    39.462451     2.965611      39.5737   99.47082    0.30134    4
   5   13   -3   1.009180   -31.803314     1.022450      31.8197   99.51017    0.19483    4
   3   17    0   1.008251    24.925240     0.074235      24.9254   99.63497    0.11956    4
   9    3   -3   1.006967   -44.552242    -3.721111      44.7074   99.80807    0.38474    4
   3    7    4   1.006921   -21.596973     2.183145       21.707   99.81433    0.09070    4
   8    0   -4   1.006629   171.484710    12.875601      171.967   99.85375    2.84644    2
   9    7   -1   1.005352     2.113155    -1.877792      2.82693  100.02700    0.00154    4
   7    7    2   1.005228    38.119950     4.997783      38.4462  100.04383    0.28462    4
   3   17   -1   1.004625    86.672889     8.580262      87.0966  100.12592    1.46091    4
   0   18    0   1.004333    19.236609     4.054971      19.6593  100.16567    0.03722    2
   1    5   -5   1.003831    25.881766     5.731640      26.5088  100.23427    0.13536    4
   6   12   -3   1.002140    18.934853     2.165445      19.0583  100.46585    0.06999    4
   4   14   -3   1.001876   -29.690329    -3.963966      29.9538  100.50217    0.17291    4
   6   14    0   1.001327     9.360222     2.281568      9.63428  100.57782    0.01789    4
   8    8   -3   1.001055   -33.427047    -1.867389      33.4792  100.61521    0.21606    4
   8    2   -4   1.000445   -20.694301    -3.544959      20.9957  100.69952    0.08499    4
   8   10   -2   1.000110    21.897629     2.206700      22.0085  100.74576    0.09340    4
   5    3   -5   0.999605     9.980306    -0.817102      10.0137  100.81575    0.01934    4
   3   15    2   0.998370    43.447460     3.904271      43.6225  100.98734    0.36713    4
   4    4    4   0.997914    21.160873     3.697367      21.4815  101.05078    0.08904    4
   0    4    5   0.997148    -1.038106    -1.762365      2.04538  101.15772    0.00081    4
   2    6   -5   0.996396   -48.047707     1.637877      48.0756  101.26302    0.44624    4
   9    7   -2   0.994682    14.445696     2.835455      14.7213  101.50404    0.04187    4
   4   14    2   0.993749    -8.758405     1.915671      8.96546  101.63579    0.01554    4
   7    7   -4   0.993724    45.409245     3.964484       45.582  101.63934    0.40159    4
   1   15   -3   0.993666   -36.194696    -3.332831      36.3478  101.64757    0.25537    4
   8   10    0   0.993627    28.077969     2.922984      28.2297  101.65306    0.15404    4
   5   15   -2   0.993162   -36.350275     0.222037       36.351  101.71888    0.25547    4
   2   12   -4   0.993051   -65.799145    -2.016521        65.83  101.73467    0.83787    4
   2   16    2   0.989117   -26.055053    -4.366133      26.4183  102.29654    0.13520    4
   7   11    1   0.988975     0.968240    -2.639807      2.81177  102.31702    0.00153    4
   1    1    5   0.988789     8.220272     0.696124      8.24969  102.34368    0.01319    4
   7   13   -1   0.988264    -4.602675     1.879422       4.9716  102.41943    0.00479    4
   8    8    1   0.988177    -9.123532    -1.178299      9.19931  102.43193    0.01640    4
   5    9    3   0.988116   -33.381233     1.624464      33.4207  102.44075    0.21649    4
   6   14   -2   0.987342    12.778270     2.191101      12.9648  102.55267    0.03259    4
   8    0    2   0.987180   131.099330    11.643809      131.615  102.57601    1.67966    2
   1   17   -2   0.986454     5.721437    -0.302152      5.72941  102.68130    0.00637    4
   9    1    1   0.985591     2.677680     0.804683      2.79598  102.80692    0.00152    4
   0   18    1   0.985492     1.925335    -0.464703      1.98062  102.82133    0.00076    4
   4   16   -2   0.985311    23.662838    -1.910245      23.7398  102.84767    0.10942    4
   1   11    4   0.982869    32.320741     4.764195        32.67  103.20530    0.20754    4
   9    5   -3   0.982867   130.914077     9.179299      131.235  103.20565    3.34895    4
   2   18    0   0.982676    33.911772     4.714901       34.238  103.23375    0.22797    4
   8    4   -4   0.982553   -13.171149     0.994132      13.2086  103.25188    0.03393    4
   4    6   -5   0.982505   177.015503    10.081160      177.302  103.25889    6.11422    4
   7   11   -3   0.981627   -23.438098    -3.060847      23.6371  103.38853    0.10873    4
   8    2    2   0.981345   -15.122381    -3.873030      15.6105  103.43012    0.04743    4
   3   15   -3   0.981130    32.471692     0.096051      32.4718  103.46197    0.20528    4
  10    0   -1   0.981090   -16.763725    -3.769161      17.1822  103.46786    0.02874    2
   6    6    3   0.980978   167.479498    10.361813        167.8  103.48456    5.48222    4
   4   16    1   0.980649    86.872770     8.018033       87.242  103.53327    1.48227    4
   6    0   -5   0.979255   -15.805887    -3.354771       16.158  103.74061    0.02545    2
   9    7    0   0.978427    73.503025     5.451719      73.7049  103.86415    1.05971    4
   2   10    4   0.977959    29.743702     2.590350      29.8563  103.93426    0.17395    4
   1    3    5   0.977165    -9.350864    -1.967473      9.55561  104.05331    0.01783    4
   5    5   -5   0.976017    32.707336     4.065697      32.9591  104.22615    0.21231    4
  10    0   -2   0.975959    77.546918     8.510456      78.0125  104.23501    0.59477    2
   5   13    2   0.975816    45.864318     0.307399      45.8653  104.25657    0.41122    4
   3    7   -5   0.975751    18.412571    -0.287545      18.4148  104.26636    0.06629    4
   2   14    3   0.975593   -78.113517    -6.846953       78.413  104.29026    1.20215    4
   5   11   -4   0.975443    78.311104     8.661074      78.7886  104.31292    1.21385    4
  10    2   -1   0.975362   -22.915493     0.944003      22.9349  104.32516    0.10286    4
   0   12    4   0.974532   116.139559     3.901427      116.205  104.45090    2.64256    4
   2   18   -1   0.974477   -17.991487    -1.336946      18.0411  104.45922    0.06370    4
   3   17    1   0.974449    32.382898     3.200571      32.5407  104.46342    0.20723    4
   9    3    1   0.974078     7.382542    -0.916621      7.43923  104.51985    0.01083    4
   3   13    3   0.973848     7.660303     2.448397      8.04207  104.55472    0.01266    4
   5   15    1   0.973681    14.038436    -1.531020      14.1217  104.58021    0.03905    4
   6    2   -5   0.973558    14.599397     3.621409      15.0418  104.59893    0.04431    4
   7   13    0   0.972056    49.184277     0.332506      49.1854  104.82839    0.47447    4
  10    2   -2   0.970319   -26.991783    -3.231962      27.1846  105.09524    0.14517    4
   4   12   -4   0.969687    52.932611     5.138352      53.1814  105.19281    0.55594    4
   4    6    4   0.968830   -24.306930    -2.409573      24.4261  105.32549    0.11738    4
   1    7   -5   0.968631   -28.912143    -2.775351       29.045  105.35632    0.16600    4
   7   13   -2   0.968547   -49.215980    -4.029867      49.3807  105.36940    0.47986    4
   6   10   -4   0.968240    12.843330     1.985266      12.9959  105.41711    0.03325    4
   0    6    5   0.968129    88.724399    10.080411      89.2952  105.43432    1.56978    4
   1   17    2   0.967100    -2.894336    -0.344386      2.91475  105.59452    0.00167    4
   3   17   -2   0.964724     2.345996    -0.416213      2.38263  105.96717    0.00112    4
   8    4    2   0.964442   -52.934690     0.741402      52.9399  106.01167    0.55393    4
   1   15    3   0.964439    -0.198642    -1.325476      1.34028  106.01213    0.00036    4
   3    9    4   0.960378   -70.640520    -6.394940      70.9294  106.65768    0.99905    4
   4   12    3   0.959409    26.988949     2.723644       27.126  106.81317    0.14629    4
   9    9   -1   0.959016    -0.842121     2.609795       2.7423  106.87648    0.00150    4
   7    9    2   0.958909     0.011309    -2.934447      2.93447  106.89379    0.00171    4
  10    4   -1   0.958760    14.512642    -1.406463      14.5806  106.91774    0.04230    4
   6    4   -5   0.957047    -1.597280    -2.021808      2.57663  107.19503    0.00132    4
   2    8   -5   0.956545    10.401985    -0.412106      10.4101  107.27664    0.02163    4
   2   18    1   0.955806     0.773212    -3.677505      3.75791  107.39699    0.00282    4
   1    5    5   0.955096    41.199736     6.014917      41.6365  107.51305    0.34660    4
   8    6   -4   0.954754   -14.177226    -1.871649      14.3002  107.56908    0.04090    4
   6   14    1   0.954358    24.917189    -1.188861      24.9455  107.63410    0.12454    4
  10    4   -2   0.953969    29.685473     2.907401      29.8275  107.69790    0.17815    4
   1   13   -4   0.953919    21.826193    -0.292415      21.8282  107.70623    0.09542    4
   5    1    4   0.953794   -18.991723    -0.203311      18.9928  107.72673    0.07225    4
   8   12   -1   0.952300    18.162749     2.364756       18.316  107.97323    0.06734    4
   9    5    1   0.952213    21.095773     4.674868      21.6075  107.98777    0.09372    4
   3   13   -4   0.951638   -38.651638    -3.567509      38.8159  108.08307    0.30270    4
  10    0    0   0.951515   105.345984    10.736540      105.892  108.10342    1.12660    2
   2    0    5   0.951385    -7.171186    -3.040268      7.78904  108.12499    0.00610    2
   7    1    3   0.950526    16.817780     1.169977      16.8584  108.26805    0.05719    4
   8   10   -3   0.949994     1.225281    -1.519274       1.9518  108.35683    0.00077    4
   9    7   -3   0.949756    52.521370     0.127775      52.5215  108.39672    0.55575    4
   9    9   -2   0.949741   -59.900386    -6.457292      60.2474  108.39909    0.73130    4
   2   16   -3   0.949319    82.002060     7.576087      82.3513  108.46976    1.36721    4
   7    9   -4   0.948907   -30.103386    -5.007702      30.5171  108.53884    0.18787    4
   1   19    0   0.946752    -2.276904    -0.907325      2.45103  108.90228    0.00122    4
   6   12    2   0.946623    22.717821     0.383139      22.7211  108.92415    0.10452    4
  10    2    0   0.946287   -18.048296    -3.906091      18.4661  108.98119    0.06907    4
   2    2    5   0.946159    58.968377     5.349701      59.2105  109.00287    0.71030    4
   4    8   -5   0.944235   -21.784720    -1.506962      21.8368  109.33093    0.09692    4
   5    7   -5   0.943571   -20.196818    -3.912894      20.5724  109.44475    0.08611    4
   5    3    4   0.943348    23.283623     2.387929      23.4058  109.48297    0.11151    4
   6    8    3   0.942878   -20.629279    -1.217110      20.6652  109.56377    0.08699    4
   0   16    3   0.941656    46.792505     6.060890      47.1834  109.77483    0.45448    4
   7    3    3   0.940186    10.701406    -0.692605      10.7238  110.03001    0.02354    4
   8   10    1   0.938967   -32.754166    -2.308578      32.8354  110.24292    0.22116    4
   8   12   -2   0.938890   -25.557682    -0.611176       25.565  110.25642    0.13408    4
   9    1   -4   0.938169    12.491913     0.541461      12.5036  110.38274    0.03212    4
   8    6    2   0.938111    16.791961    -0.613890      16.8032  110.39292    0.05801    4
  10    0   -3   0.937668   -24.713707    -3.736535      24.9946  110.47094    0.06423    2
   7    1   -5   0.937600    -6.986440    -0.004404      6.98644  110.48293    0.01004    4
   9    9    0   0.935561    23.213306    -2.352051      23.3322  110.84356    0.11239    4
   1   19   -1   0.935138   -31.785196    -1.173761      31.8069  110.91893    0.20904    4
   0   18    2   0.934754    33.489854     4.641505        33.81  110.98729    0.23637    4
   5   11    3   0.933890   -19.718938    -2.943006      19.9373  111.14173    0.08233    4
   5   17   -1   0.933820    28.794332     2.696127      28.9203  111.15421    0.17327    4
   2   18   -2   0.933679    23.647974     4.012310      23.9859  111.17946    0.11922    4
   8   12    0   0.933519    52.954892     1.437042      52.9744  111.20807    0.58171    4
   3    9   -5   0.933221    -8.283186     1.916702      8.50205  111.26162    0.01499    4
  10    6   -1   0.932880    98.038660     9.932814      98.5405  111.32278    2.01540    4
  10    2   -3   0.932663    43.007109     5.182159      43.3182  111.36186    0.38964    4
   4    8    4   0.932077    11.409989     1.186953      11.4716  111.46757    0.02736    4
   0    8    5   0.931452   -13.317181    -1.481171      13.3993  111.58037    0.03737    4
   6    6   -5   0.931302    53.874453     5.238336      54.1285  111.60763    0.61009    4
   5   15   -3   0.931193   -48.376454    -3.841189      48.5287  111.62729    0.49050    4
  10    4    0   0.931103     4.350147     1.736525      4.68394  111.64358    0.00457    4
   2    4    5   0.930982    -7.168901    -2.283067      7.52366  111.66564    0.01179    4
   6   14   -3   0.930547     2.379045    -2.737335      3.62669  111.74458    0.00274    4
   6   16   -1   0.929720    74.658426     7.672877      75.0517  111.89500    1.17683    4
  10    6   -2   0.928465   -33.807033    -2.666225       33.912  112.12455    0.24092    4
   5   17    0   0.928308    -6.018485    -0.493020      6.03864  112.15341    0.00764    4
   9    3   -4   0.928223    39.142711     2.972532      39.2554  112.16895    0.32300    4
   7    3   -5   0.927672   -59.781980    -4.969708      59.9882  112.27037    0.75519    4
   1    9   -5   0.926986    25.311178     3.637885      25.5713  112.39676    0.13743    4
   1   19    1   0.926758    53.319105     2.753509      53.3902  112.43881    0.59942    4
   4   18   -1   0.926546   -20.082966    -3.429921      20.3738  112.47801    0.08733    4
   4   18    0   0.925248    21.793111     3.774199      22.1175  112.71902    0.10322    4
   7   13    1   0.924780    -3.287571     2.523489      4.14441  112.80625    0.00363    4
   1    7    5   0.924628    -5.283500    -2.133176      5.69788  112.83451    0.00686    4
   5    5    4   0.923447    -7.050244    -1.782434      7.27207  113.05566    0.01121    4
   2   14   -4   0.923256    25.752151     2.951457      25.9207  113.09146    0.14243    4
   9    7    1   0.922011   -34.251362    -3.346298      34.4144  113.32597    0.25181    4
   4   16   -3   0.920634    52.371519     6.641029      52.7909  113.58707    0.59453    4
   2   12    4   0.920490    58.237672     2.462897      58.2897  113.61440    0.72509    4
   7    5    3   0.920480    37.285489     4.515091      37.5579  113.61637    0.30104    4
   6   16    0   0.920207    22.017672    -2.516461       22.161  113.66824    0.10488    4
   1   13    4   0.919782   -34.209878    -4.206788      34.4676  113.74936    0.25398    4
   8    8   -4   0.919523   -83.163771    -2.974270      83.2169  113.79891    1.48142    4
   7   13   -3   0.918763    42.392630     4.187378      42.5989  113.94432    0.38894    4
  10    4   -3   0.918116    -8.892496    -2.078798      9.13224  114.06864    0.01790    4
   7   15   -1   0.914686   -13.251725    -2.127815      13.4215  114.73433    0.03902    4
   4   16    2   0.914316   -16.726236    -3.278687      17.0446  114.80676    0.06300    4
   5   13   -4   0.913687    -4.212514    -1.753778        4.563  114.93015    0.00452    4
   3   17    2   0.913214     2.710407    -0.275456      2.72437  115.02326    0.00161    4
   6   12   -4   0.912372   -17.757348    -2.368240      17.9146  115.18959    0.06996    4
   2   10   -5   0.911703    26.455231     1.026132      26.4751  115.32215    0.15309    4
   3   19    0   0.911350   -40.194700    -2.481214      40.2712  115.39230    0.35456    4
   9    9   -3   0.910402   -10.427082     2.192228       10.655  115.58132    0.02489    4
   3   11    4   0.910367   159.509788    11.922922      159.955  115.58815    5.60923    4
   1   17   -3   0.909610   121.995956     8.443527      122.288  115.73982    3.28565    4
   6   16   -2   0.909318   -44.425949    -4.811237      44.6857  115.79843    0.43910    4
   9    5   -4   0.909245    -4.406438    -2.438473      5.03615  115.81313    0.00558    4
   5   17   -2   0.909224     3.678038    -0.119036      3.67996  115.81737    0.00298    4
   9   11   -1   0.909207   -12.422579    -2.625436       12.697  115.82065    0.03546    4
   7   11    2   0.909116    32.549059     5.115213      32.9485  115.83906    0.23886    4
   7    5   -5   0.908726   140.239162    10.438429      140.627  115.91747    4.35623    4
   3   19   -1   0.908669    16.911304     2.321756      17.0699  115.92889    0.06420    4
   0   14    4   0.908317     2.767140     2.283238      3.58751  115.99996    0.00284    4
  10    6    0   0.907345    13.289728    -0.509725      13.2995  116.19674    0.03912    4
   2    6    5   0.907232    10.425801     2.365937      10.6909  116.21959    0.02529    4
   3    1    5   0.907210     1.571167     0.773783      1.75137  116.22412    0.00068    4
   5    9   -5   0.904950    47.869030     5.248446      48.1559  116.68561    0.51666    4
   5   15    2   0.904789   -27.312372    -0.489800      27.3168  116.71862    0.16633    4
   8    8    2   0.904627   -24.292492    -1.855772      24.3633  116.75194    0.13238    4
   4   14   -4   0.904390     8.876579     1.810857      9.05941  116.80069    0.01832    4
   0   20    0   0.903900   -88.611170    -7.785332      88.9525  116.90181    0.88433    2
   3   15    3   0.903220     2.557323    -1.346234      2.89003  117.04238    0.00187    4
   7   15    0   0.901789   -58.363201    -1.024509      58.3722  117.33999    0.76676    4
   2   18    2   0.901598    16.110641     3.648927      16.5187  117.38002    0.06144    4
   9   11   -2   0.901292    83.102316    10.812582      83.8028  117.44393    1.58293    4
   4   10   -5   0.901025   -21.171421    -1.755179      21.2441  117.49980    0.10181    4
   7   11   -4   0.900579    98.564970     9.111872      98.9852  117.59339    2.21359    4
   2   16    3   0.900115    63.782828     7.630469      64.2376  117.69105    0.93368    4
   3   17   -3   0.899964    -4.736837     1.435267      4.94951  117.72278    0.00555    4
  10    8   -1   0.899934     3.541116    -1.061156      3.69669  117.72925    0.00309    4
   6   10    3   0.899847   -10.588128    -1.849240      10.7484  117.74760    0.02616    4
   7   15   -2   0.898986    49.804365     3.692472      49.9411  117.92958    0.56646    4
   9    1    2   0.898847    25.523095     3.497008      25.7615  117.95905    0.15080    4
   4   18   -2   0.898713    26.691514     4.458275      27.0613  117.98747    0.16648    4
   6    8   -5   0.898516   -10.689733    -1.046790      10.7409  118.02916    0.02624    4
   3    3    5   0.898207   -62.052413    -4.568273      62.2203  118.09487    0.88158    4
   8   12   -3   0.897058    13.118817     2.474116      13.3501  118.34014    0.04074    4
   4   14    3   0.896035     9.575651    -1.406571      9.67841  118.55956    0.02149    4
  10    8   -2   0.895968     4.344249     0.048471      4.34452  118.57402    0.00433    4
   5    7    4   0.895823    61.379650     5.146710       61.595  118.60530    0.87108    4
