   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   4    6   -1   1.877779    58.163506     4.469907       58.335   48.43690    2.25144    4
   1    9   -1   1.867358   127.637599     6.786989      127.818   48.72472   10.66444    4
   4    6    0   1.867038   -18.421348    -2.299261      18.5643   48.73360    0.22487    4
   2    4    2   1.864153   -61.654600     1.732290      61.6789   48.81394    2.47299    4
   5    3   -1   1.856930   -18.844896    -1.757843      18.9267   49.01627    0.23068    4
   1    7   -2   1.846512    75.534708     4.980405      75.6987   49.31122    3.64012    4
   4    4   -2   1.839045    75.583859     5.508642      75.7843   49.52486    3.61266    4
   2    8    1   1.828631    -7.473591    -0.757878      7.51192   49.82606    0.03501    4
   5    3    0   1.814690    82.484260     3.952619      82.5789   50.23530    4.15268    4
   4    4    1   1.809254    -2.004729    -2.250390      3.01383   50.39674    0.00549    4
   0   10    0   1.807800    83.888028     3.868945      83.9772   50.44012    2.12745    2
   1    9    1   1.803195   -32.823301     1.758879      32.8704   50.57798    0.64785    4
   3    1    2   1.773698   -28.484302    -0.824145      28.4962   51.48005    0.46769    4
   3    7    1   1.771185     2.749588    -3.734483      4.63752   51.55845    0.01234    4
   2    0   -3   1.750611   -22.530748    -3.993396      22.8819   52.20978    0.14602    2
   1    1   -3   1.747716   -24.196411     0.036519      24.1964   52.30282    0.32524    4
   5    1   -2   1.744981    98.472562     3.899809      98.5498   52.39102    5.37452    4
   1    7    2   1.728170   -19.386219     3.207885      19.6498   52.94007    0.20866    4
   2    2   -3   1.718675     8.384423     2.564159      8.76775   53.25551    0.04098    4
   5    5   -1   1.717603    53.976757     5.039222      54.2115   53.29135    1.56443    4
   3    7   -2   1.714718    50.235935     4.351442       50.424   53.38813    1.34789    4
   3    3    2   1.709109    40.190132     3.729664      40.3628   53.57729    0.85673    4
   0   10    1   1.704354   -58.395358    -1.635891      58.4183   53.73876    1.78240    4
   0    0    3   1.703903   -46.649827    -4.424416      46.8592   53.75412    0.57304    2
   3    9    0   1.696981   -26.156117    -6.251441      26.8928   53.99115    0.37372    4
   0    8    2   1.692939    47.504305     2.255312      47.5578   54.13057    1.16191    4
   2    6    2   1.692823    -9.065803    -2.244745      9.33958   54.13459    0.04480    4
   2   10    0   1.689911    33.630326     2.323107      33.7105   54.23551    0.58122    4
   2    8   -2   1.686577  -114.862961    -3.176631      114.907   54.35153    6.72038    4
   1    3   -3   1.685826  -117.925010    -5.224406      118.041   54.37774    7.08417    4
   5    5    0   1.684010   -15.840791    -2.827843      16.0912   54.44123    0.13130    4
   5    3   -2   1.683372    15.100395     0.422598      15.1063   54.46360    0.11561    4
   3    1   -3   1.682085    42.761863     1.993489      42.8083   54.50870    0.92663    4
   3    9   -1   1.679863   -46.967432     1.438087      46.9894   54.58682    1.11285    4
   0    2    3   1.674413   106.199633     6.056146      106.372   54.77933    5.65737    4
   4    6   -2   1.673954   -10.640895    -1.779375      10.7886   54.79561    0.05816    4
   4    6    1   1.651394   226.186021    11.644164      226.486   55.60849   24.78647    4
   2   10   -1   1.649205   -17.860354    -1.018889      17.8894   55.68874    0.15414    4
   4    8   -1   1.645595    -1.694945    -0.748048      1.85268   55.82157    0.00164    4
   5    1    1   1.645355     5.949313     0.405109      5.96309   55.83042    0.01703    4
   4    8    0   1.638351  -119.511242    -2.392762      119.535   56.09009    6.77059    4
   6    0   -1   1.636097   -30.634405    -3.803772      30.8697   56.17422    0.22500    2
   2    4   -3   1.632427    -2.491457    -2.268186      3.36928   56.31176    0.00533    4
   3    3   -3   1.626695    33.897439    -0.667756       33.904   56.52796    0.53516    4
   1   11    0   1.619476   164.344299     8.722587      164.576   56.80278   12.47206    4
   6    2   -1   1.609937   -32.152339     1.476633      32.1862   57.17024    0.47012    4
   1    1    3   1.601899    32.882744     1.744844       32.929   57.48378    0.48602    4
   1    9   -2   1.598815     2.564094    -3.909825      4.67561   57.60501    0.00975    4
   3    5    2   1.598620   -25.018892    -2.769268      25.1717   57.61272    0.28257    4
   0    4    3   1.594357    -1.533674    -2.420602      2.86557   57.78125    0.00364    4
   5    3    1   1.593405   -12.589244    -2.940654      12.9281   57.81905    0.07394    4
   4    0   -3   1.588044   -15.707213    -3.831408      16.1678   58.03278    0.05734    2
