names	peak_1	peak_2	peak_3	peak_4	peak_5	peak_6	peak_7	peak_8	a
Aluminium	4.127133894989775	4.765603520348958	6.7395799050299985	7.902861399783591	8.25426778997955	9.531207040697913	10.386396184401013	10.656208906728516	3.90758
Aluminium	4.323584614992462	4.992445262497528	7.060382514915293	8.279035968278606	8.647169229984923	9.984890524995052	10.880786495104463	11.163442247223529	4.093579999999999
Aluminium	4.176774668323787	4.822923745515532	6.820642930108541	7.9979162638656645	8.353549336647575	9.645847491031061	10.511322768288444	10.784380772337471	3.9545799999999995
Aluminium	4.349989281659489	5.02293474396911	7.10350114527622	8.329597066194601	8.699978563318979	10.045869487938216	10.947236805682884	11.23161877148361	4.11858
Aluminium	4.291899014992029	4.955857884731629	7.008640158482181	8.21836265077941	8.583798029984058	9.911715769463255	10.801046122410359	11.08163041811143	4.06358
Aluminium	4.366888268326387	5.042448012110921	7.131097068707213	8.36195616886084	8.733776536652774	10.08489602422184	10.989765004453073	11.275251747010063	4.13458
Aluminium	4.361607334992982	5.036350115816606	7.122473342635028	8.35184394927764	8.723214669985964	10.072700231633208	10.97647494233739	11.261616442158047	4.12958
Aluminium	4.306685628325564	4.972931994355715	7.0327865914843	8.246676865612368	8.613371256651128	9.945863988711427	10.838258296334274	11.119809271697076	4.077579999999999
Aluminium	4.258101041658233	4.916831348448005	6.953448311620195	8.153644445446934	8.516202083316466	9.833662696896006	10.71598972486998	10.994364467058524	4.03158
Aluminium	4.422866161660486	5.107085712830675	7.222508565072378	8.469145696442752	8.845732323320972	10.214171425661347	11.130639662879325	11.419785978441439	4.18758
Aluminium	4.134527201656543	4.7741405751610015	6.751653121531058	7.91701850720007	8.269054403313087	9.548281150322	10.40500227136297	10.675298333521338	3.91458
Aluminium	4.265494348325	4.925368403260047	6.965521528121254	8.167801552863413	8.53098869665	9.850736806520091	10.734595811831937	11.013453893851347	4.03858
Aluminium	4.287674268325304	4.9509795676961765	7.001741177624433	8.21027287511285	8.575348536650608	9.90195913539235	10.79041407271781	11.070722174229816	4.0595799999999995
Aluminium	4.14192050832331	4.782677629973044	6.763726338032118	7.931175614616549	8.28384101664662	9.565355259946084	10.423608358324929	10.69438776031416	3.9215799999999996
Aluminium	4.223246881657756	4.876585232905517	6.896531719543772	8.086903796197818	8.446493763315512	9.75317046581103	10.628275314906464	10.904371455035216	3.9985799999999996
Aluminium	4.282393334991898	4.94488167140186	6.993117451552248	8.20016065552965	8.564786669983796	9.889763342803716	10.777124010602128	11.0570868693778	4.05458
Aluminium	4.323584614992462	4.992445262497528	7.060382514915293	8.279035968278606	8.647169229984923	9.984890524995052	10.880786495104463	11.163442247223529	4.093579999999999
Aluminium	4.393292934993415	5.072937493582503	7.17421569906814	8.412517266776836	8.78658586998683	10.145874987165003	11.056215315031494	11.343428271270147	4.15958
Aluminium	4.194729841657367	4.843656592916208	6.849963598753971	8.032297810448542	8.389459683314733	9.687313185832412	10.556508979481771	10.830740808834326	3.97158
Aluminium	4.165156614990295	4.809508373668036	6.801670732749733	7.975669380782626	8.33031322998059	9.619016747336069	10.482084631633938	10.754383101663034	3.94358
Aluminium	4.310910374992289	4.977810311391168	7.039685572342049	8.254766641278927	8.621820749984577	9.955620622782332	10.848890346026822	11.13071751557869	4.08158
Aluminium	4.168325174990338	4.813167111444626	6.806844968393044	7.981736712532546	8.336650349980676	9.626334222889248	10.49005866890335	10.762564284574244	3.9465799999999995
Aluminium	4.178887041657149	4.825362904033259	6.824092420537415	8.001961151698945	8.357774083314299	9.650725808066515	10.516638793134717	10.789834894278277	3.9565799999999998
Aluminium	4.356326401659576	5.030252219522289	7.113849616562843	8.341731729694441	8.712652803319152	10.060504439044575	10.963184880221705	11.24798113730603	4.12458
Aluminium	4.31196656165897	4.979029890650032	7.041410317556486	8.256789085195567	8.62393312331794	9.95805978130006	10.851548358449959	11.133444576549092	4.08258
Aluminium	4.341539788326041	5.013178109898203	7.089703183560723	8.313417514861483	8.683079576652082	10.026356219796403	10.92597270629779	11.209802283720384	4.11058
